1703596304.824459 client started (52318): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1703596304.824524 on Darwin 23.2.0 Darwin Kernel Version 23.2.0: Wed Nov 15 21:53:18 PST 2023; root:xnu-10002.61.3~2/RELEASE_ARM64_T6000
1703596304.824542 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1703596304.827380 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827384 sending message 112 to peer 0x110018000 (11 bytes)
1703596304.827387 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827391 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827395 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827399 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827403 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827408 sending message 112 to peer 0x110018000 (21 bytes)
1703596304.827413 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827417 sending message 112 to peer 0x110018000 (9 bytes)
1703596304.827421 sending message 112 to peer 0x110018000 (6 bytes)
1703596304.827426 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827429 sending message 112 to peer 0x110018000 (10 bytes)
1703596304.827433 sending message 112 to peer 0x110018000 (24 bytes)
1703596304.827436 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827440 sending message 112 to peer 0x110018000 (9 bytes)
1703596304.827445 sending message 112 to peer 0x110018000 (70 bytes)
1703596304.827448 sending message 112 to peer 0x110018000 (69 bytes)
1703596304.827452 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827456 sending message 112 to peer 0x110018000 (10 bytes)
1703596304.827461 sending message 112 to peer 0x110018000 (10 bytes)
1703596304.827466 sending message 112 to peer 0x110018000 (24 bytes)
1703596304.827470 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827474 sending message 112 to peer 0x110018000 (10 bytes)
1703596304.827479 sending message 112 to peer 0x110018000 (10 bytes)
1703596304.827485 sending message 112 to peer 0x110018000 (10 bytes)
1703596304.827490 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827495 sending message 112 to peer 0x110018000 (15 bytes)
1703596304.827499 sending message 112 to peer 0x110018000 (5 bytes)
1703596304.827505 sending message 104 to peer 0x110018000 (0 bytes)
1703596304.827510 sending message 110 to peer 0x110018000 (0 bytes)
1703596304.827514 sending message 107 to peer 0x110018000 (4 bytes)
1703596304.827517 sending message 105 to peer 0x110018000 (60 bytes)
1703596304.827521 sending message 105 to peer 0x110018000 (66 bytes)
1703596304.827525 sending message 105 to peer 0x110018000 (27 bytes)
1703596304.827528 sending message 105 to peer 0x110018000 (15 bytes)
1703596304.827532 sending message 105 to peer 0x110018000 (22 bytes)
1703596304.827535 sending message 105 to peer 0x110018000 (14 bytes)
1703596304.827539 sending message 105 to peer 0x110018000 (21 bytes)
1703596304.827542 sending message 105 to peer 0x110018000 (15 bytes)
1703596304.827546 sending message 105 to peer 0x110018000 (43 bytes)
1703596304.827550 sending message 105 to peer 0x110018000 (15 bytes)
1703596304.827553 sending message 105 to peer 0x110018000 (28 bytes)
1703596304.827557 sending message 105 to peer 0x110018000 (23 bytes)
1703596304.827561 sending message 105 to peer 0x110018000 (425 bytes)
1703596304.827565 sending message 105 to peer 0x110018000 (19 bytes)
1703596304.827569 sending message 105 to peer 0x110018000 (20 bytes)
1703596304.827573 sending message 105 to peer 0x110018000 (22 bytes)
1703596304.827576 sending message 105 to peer 0x110018000 (20 bytes)
1703596304.827580 sending message 105 to peer 0x110018000 (14 bytes)
1703596304.827583 sending message 105 to peer 0x110018000 (57 bytes)
1703596304.827587 sending message 105 to peer 0x110018000 (7 bytes)
1703596304.827591 sending message 105 to peer 0x110018000 (19 bytes)
1703596304.827594 sending message 105 to peer 0x110018000 (10 bytes)
1703596304.827606 sending message 105 to peer 0x110018000 (61 bytes)
1703596304.827610 sending message 105 to peer 0x110018000 (34 bytes)
1703596304.827614 sending message 105 to peer 0x110018000 (8 bytes)
1703596304.827617 sending message 105 to peer 0x110018000 (16 bytes)
1703596304.827621 sending message 105 to peer 0x110018000 (30 bytes)
1703596304.827624 sending message 105 to peer 0x110018000 (37 bytes)
1703596304.827628 sending message 105 to peer 0x110018000 (34 bytes)
1703596304.827632 sending message 105 to peer 0x110018000 (34 bytes)
1703596304.827635 sending message 105 to peer 0x110018000 (35 bytes)
1703596304.827639 sending message 105 to peer 0x110018000 (12 bytes)
1703596304.827643 sending message 105 to peer 0x110018000 (22 bytes)
1703596304.827647 sending message 105 to peer 0x110018000 (24 bytes)
1703596304.827650 sending message 105 to peer 0x110018000 (11 bytes)
1703596304.827654 sending message 105 to peer 0x110018000 (8 bytes)
1703596304.827657 sending message 105 to peer 0x110018000 (32 bytes)
1703596304.827661 sending message 105 to peer 0x110018000 (96 bytes)
1703596304.827665 sending message 105 to peer 0x110018000 (10 bytes)
1703596304.827671 sending message 105 to peer 0x110018000 (26 bytes)
1703596304.827675 sending message 105 to peer 0x110018000 (22 bytes)
1703596304.827678 sending message 105 to peer 0x110018000 (16 bytes)
1703596304.827682 sending message 105 to peer 0x110018000 (16 bytes)
1703596304.827685 sending message 105 to peer 0x110018000 (25 bytes)
1703596304.827689 sending message 106 to peer 0x110018000 (0 bytes)
1703596304.827753 sending message 200 to peer 0x110018000 (4 bytes)
1703596304.827758 client loop enter
1703596304.840167 peer 0x110018000 message 207
1703596304.840180 sending message 208 to peer 0x110018000 (0 bytes)
1703596316.203631 peer 0x110018000 message 201
1703596316.203652 sending message 205 to peer 0x110018000 (0 bytes)
1703596316.205135 peer 0x110018000 message 204
1703596316.205151 client loop exit
